cell_line,treatment,time,b.CATENIN,cleavedCas,CyclinB,GAPDH,IdU,Ki.67,p.4EBP1,p.Akt.Ser473.,p.AKT.Thr308.,p.AMPK,p.BTK,p.CREB,p.ERK,p.FAK,p.GSK3b,p.H3,p.HER2,p.JNK,p.MAP2K3,p.MAPKAPK2,p.MEK,p.MKK3.MKK6,p.MKK4,p.NFkB,p.p38,p.p53,p.p90RSK,p.PDPK1,p.PLCg2,p.RB,p.S6,p.S6K,p.SMAD23,p.SRC,p.STAT1,p.STAT3,p.STAT5
184A1,EGF,0,1.2426774804049523,2.5221341185352806,1.693037761856389,2.7681951190439698,5.048950536133488,1.9783247357521851,1.8486133471551403,2.176487659223252,2.4211260663104435,3.105052758482608,2.5120081142030073,0.47090567745990075,2.6371740226655334,1.9279708845401786,1.6210270321684137,2.8060042835266943,4.334345783298925,1.6835164041773536,1.4386316637752679,1.6467205672799146,2.3684683505050836,2.1779606105751173,3.2024770654813772,2.290935796926913,1.9527754008834988,1.4399094618015886,2.6437186940308415,2.3471834610046045,1.6122720432548676,4.5590548026184905,4.535059439600687,2.0050210875629624,2.275623952755932,1.926816837656986,2.2561957144937943,1.8985556514589956,1.7572151559255604
184A1,EGF,5.5,1.071111392318452,2.5259008457775334,1.6608833953316884,3.0633707973970727,5.024605076856416,2.0658761707715936,1.6385600081301763,2.5570468920630374,2.460273131186034,3.462915930590591,2.422821267112996,0.4490135358521715,3.477476817771819,1.8989482216673492,1.8542954850021163,2.6900191448838857,4.477106106216495,1.5596055972258684,1.4607403425823207,1.7342681895997931,2.7593886726621344,2.305008129583573,3.9809257081500586,2.307270572717208,2.213187905977758,1.4158264318307847,2.972972354955562,2.5367163970363587,1.675872542898317,4.170496461185967,4.656042917908156,2.301348120231903,2.1735783849965626,1.7983552891258963,2.279188438374862,2.345773675154642,2.1890042661511737
184A1,EGF,7,1.1212395974213962,2.6034691307352595,1.6932912475719912,3.1437385421271604,5.004796439710116,2.1488867929867936,1.6699245591007987,2.613492389192969,2.5302081434222576,3.5854542495736865,2.4849601431127493,0.46514693021031644,3.6151992699491426,1.9134799964446527,1.9347749842756885,2.84307347926861,4.587795774781926,1.614588483001949,1.4787083182530951,1.8009422223626723,2.831723887878205,2.398248855545652,4.1590747074440415,2.3206846943422095,2.344061132955888,1.450442137052352,3.0985286248614594,2.627576595731587,1.7835045162604652,4.199980428063981,4.787607198259997,2.36473162035875,2.2303053825605224,1.8048164935751332,2.317052819558229,2.616183965337904,2.3163632857270855
184A1,EGF,9,1.3042671039520697,2.808688421819526,1.8482695786357273,3.3561484775756236,4.966732648361553,2.270447737074434,1.8824849249264708,2.6589270231539386,2.7473985692303753,3.7465824684414413,2.7025636037078193,0.5350933919227862,3.7129864730113944,1.9952908542031391,2.062510052859361,3.2239509501190327,4.804569404607825,1.8827308800165419,1.5790863350881237,1.9718050783361454,2.916317928625438,2.6184313078117682,4.353075660727885,2.411555461121124,2.585584310696656,1.57218395279655,3.3537646943630928,2.821234571020006,2.073577021421827,4.43171140611678,4.69697774876753,2.4978172181083567,2.457615617406693,1.9125738963355583,2.436405849962802,2.977463359645421,2.460209395374066
184A1,EGF,13,1.2189533815081388,2.6423532430279564,1.755240682869526,3.2197711172732513,4.982154788755251,2.1309298166999793,1.6954853473362763,2.6078025716211273,2.596305101505488,3.6251945413647437,2.5675101171611603,0.579217969155478,3.5233291273523895,1.9889630020499407,1.963000769530008,3.5665758464514914,4.698561261151946,1.871105440314884,1.485340407574871,1.9700930410686905,2.8239773969033655,2.457969983759681,4.125649053474373,2.3837214562174562,2.6185114044471844,1.5048603983669107,3.1823755708016432,2.6371699631403502,2.1191118551617505,4.344876109688762,4.906663287965491,2.4341108080878318,2.3293967332787027,1.9104020292176318,2.441505719744681,2.82146254758951,2.504857537169519
184A1,EGF,17,1.2916783843899995,2.6945259504322028,1.8198749907324698,3.3317972867471126,4.984155890602816,2.1983015528466376,1.7151436659229309,2.640159573546552,2.6609427018237533,3.6245804850433414,2.6295393772917217,0.5816253466258059,3.476899378052323,2.0315807854473027,2.02470747178783,4.117117156789935,4.769257387952757,2.0726992356907665,1.5031489713763513,2.0275301327921036,2.800632358660633,2.5401279188254824,4.159001438816237,2.4263695458273844,2.6425722760153985,1.525212880308808,3.2429214038259175,2.6898661992496775,2.356099035616284,4.482533046777888,5.337485178078034,2.4486744435297085,2.4119408617194322,1.9615226116660622,2.525913993260413,2.7989557550759945,2.5248751725270573
184A1,EGF,23,1.3354735470940455,2.7838913206018283,1.8778621365419397,3.5016084017628826,4.987114672713444,2.2608264385008843,1.7156486879819546,2.7265321379118035,2.7014564237092307,3.6803069674794955,2.6801487375252275,0.6450296489942751,3.49368109756192,2.1022854078711903,2.0924518123966624,4.676481795876088,4.834278944583396,2.2762137684575166,1.5444645455476054,2.1329846609997807,2.8378290178846393,2.670173570468428,4.244825775723139,2.5121370224199397,2.64533488991844,1.5650747989032285,3.3262899858494537,2.7730439632866024,2.5467072679467564,4.561603489940703,5.801708881841326,2.509511337305962,2.47783925747361,2.021698866675209,2.6281365385992994,2.685836032769254,2.55428293988611
184A1,EGF,30,1.3117096884827455,2.66603468021052,1.801657157020993,3.427033801853774,5.000270438230724,2.1292798285534187,1.4953140053045657,2.65053591233179,2.604846103821065,3.6451659336448143,2.5996940274641935,0.7022904796714909,3.330642918293265,2.0949542604412636,1.9368853166381466,4.845806585693944,4.751798969679039,2.2454786062049354,1.5026534995576037,2.09049695976502,2.7241950047091628,2.527023313327379,4.023633532745229,2.511643657158972,2.4782247349673634,1.5328143612180178,3.179718318901594,2.647475700948469,2.446904973724003,4.593477292033057,5.709817295084136,2.413353647152276,2.4110542347390727,1.9817998289047027,2.589193760322457,2.5736727847938816,2.534887479631535
184A1,EGF,40,1.3519470770395678,2.474932457868686,1.7283105231036995,3.1861939624653326,4.986852060149214,1.9710023250832431,1.2100454930535784,2.447424851877721,2.570441804340757,3.5296160213298853,2.543243702020537,0.6289338420976469,3.0545422026433235,2.019758268244227,1.6867842991961381,4.844642509191615,4.654421042438505,2.1656684014307537,1.423296440101245,1.9251180702647082,2.4850453164094404,2.2697124335389187,3.7072217902026683,2.4162024582295523,2.1646223334969044,1.4697497172437841,2.9564139051639486,2.478582942895815,2.277697099576799,4.866719003970363,5.227349723655429,2.1759761518116303,2.383892035041608,1.8854673112611304,2.4442400385123446,2.5487850719136667,2.4113792005269232
184A1,EGF,60,1.3876435479771605,2.3805110248752728,1.6873519726322925,3.0190432697987055,4.945260844191851,1.9710023250832431,1.0388827746700884,2.2993057095479705,2.566743761867828,3.4514641656785763,2.5114505553350437,0.47725448488792177,2.9023837149433107,1.9319539130490835,1.5588721377121337,4.752700789903555,4.584943910624524,2.0830486297438675,1.3461998023001787,1.8055841368751953,2.3374720404671265,2.119400992268884,3.6008564122954247,2.3212296982430223,1.9554013739543181,1.4153625255708848,2.8324173313817944,2.4031663471015543,2.1496615402860115,5.107864844590809,5.092896436014247,1.989772206268862,2.374450613156549,1.800992856925159,2.3267421327829405,2.4331284592961206,2.277509122638464
184A1,full,0,1.2684500916777957,3.0119487851587845,3.2698442314424407,2.9716626175178043,6.726299646355876,3.8768794287469723,2.9050132312330446,3.089880835160529,2.638729648432184,3.6171611772972114,2.858352347991773,0.6045054814152958,3.3028056188287627,2.194902958625481,2.646986259980064,2.8191348629278385,4.553401907218671,1.771215293368864,1.6921685692716317,2.2812691536305545,3.1270416883993284,2.810420806925702,4.230595395236293,2.9573524743626836,2.1871802925364006,1.6309146853078562,3.1564785398056783,2.841768341080665,2.428990848983039,6.638407116005673,6.0801300742904605,2.677548015975958,2.4779249909531704,2.3208238352894393,2.8876233738545736,1.5658634599646666,2.2642941923306736
184A1,iEGFR,0,1.647792128278981,2.8421742685796083,2.0026764713826646,3.354574322281434,4.931255288797937,2.2784931088975977,1.822804765743577,2.1019205136244214,2.804020340606157,3.1783521019956806,2.8712757770933655,0.5264900531349601,2.3285400493130455,1.9270398498503416,1.5139971132909666,2.9215431386781914,4.596189901116097,2.0647907142765183,1.5650073585109419,1.4511318726628892,2.248835495358123,2.49313549486374,3.2759538075131824,2.285724561052362,1.8234782630281035,1.5926038561962186,2.7477753352553447,2.651175399732672,1.8521295700593725,5.223497053134517,3.4602313449448197,1.8453141267518918,2.6664710400508485,1.9332644509563854,2.232760867729022,2.253956260959764,1.7700446022208278
184A1,iEGFR,7,1.4980554633387133,2.8207106257226595,1.9029530108285204,3.3908273239900115,4.776032889515109,2.227918063373192,1.4956930958064876,2.3850646539787634,2.817939020798189,3.5756274353096265,2.745345343331881,0.3906382142175454,3.4389695410662973,1.8714960684138338,1.883118080503058,3.0726337691629046,4.624356135763776,1.9651442526380443,1.5072343445123402,1.6586469962361958,2.6249675407731745,2.4870940781359216,4.161440136571776,2.2856024502181915,2.15841946492747,1.4940459316805534,3.2172551289543394,2.8357691810653707,1.7972564301977232,5.020974765471671,4.642900712189011,2.158202743002775,2.5304982093064954,1.7578252193892026,2.232031173971527,2.3725519546938765,1.9162232807752744
